Finals,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Kia Tigers,30.3,6.29,144,5841,5142,906,1554,292,29,170,868,76,34,499,891,0.302,0.37,0.47,0.84,2414,117,89,55,56,19
Doosan Bears,28.4,5.9,144,5833,5102,849,1499,270,20,178,812,69,33,541,960,0.294,0.369,0.459,0.828,2343,120,95,48,47,19
Nexen Heroes,26.2,5.48,144,5712,5098,789,1479,267,30,141,748,70,34,468,1066,0.29,0.357,0.437,0.794,2229,129,83,21,42,15
NC Dinos,29.2,5.46,144,5790,5079,786,1489,277,19,149,739,93,32,471,979,0.293,0.365,0.443,0.808,2251,119,130,62,48,19
SSG Landers,29.6,5.28,144,5563,4925,761,1337,222,15,234,733,53,42,427,1100,0.272,0.341,0.465,0.806,2291,97,113,57,41,20
Samsung Lions,29.2,5.26,144,5707,5095,757,1419,255,36,145,703,98,37,429,983,0.279,0.34,0.428,0.768,2181,97,70,58,55,17
Lotte Giants,30.3,5.16,144,5671,4994,743,1425,250,17,151,697,92,44,457,1018,0.285,0.356,0.433,0.789,2162,146,112,76,32,33
Hanwha Eagles,30.1,5.12,144,5663,5030,737,1445,261,16,150,684,64,44,416,974,0.287,0.351,0.435,0.786,2188,112,94,85,38,15
LG Twins,28.9,4.85,144,5614,4944,699,1390,216,20,110,663,77,56,438,1021,0.281,0.348,0.4,0.748,1976,123,101,76,55,17
KT Wiz,29.5,4.55,144,5484,4937,655,1360,274,17,119,625,86,51,374,1017,0.276,0.332,0.41,0.742,2025,118,66,62,45,11
